,as_of,ask_id,fund_size
9583,2019-02,B14200,108.399
9584,2019-03,B14200,108.36
9585,2019-04,B14200,113.092
9586,2019-05,B14200,104.813
9587,2019-06,B14200,111.176
9588,2019-07,B14200,111.497
9589,2019-08,B14200,108.819
9590,2019-09,B14200,109.524
9591,2019-10,B14200,112.45
9592,2019-11,B14200,116.046
9593,2019-12,B14200,118.268
9594,2020-01,B14200,117.387
9595,2020-02,B14200,110.734
9596,2020-03,B14200,96.6664
9597,2020-04,B14200,109.273
9598,2020-05,B14200,113.515
9599,2020-06,B14200,114.776
9600,2020-07,B14200,120.895
9601,2020-08,B14200,128.643
9602,2020-09,B14200,122.153
9603,2020-10,B14200,118.996
9604,2020-11,B14200,132.201
9605,2020-12,B14200,140.246
9606,2021-01,B14200,136.163
9607,2021-02,B14200,139.076
9608,2021-03,B14200,142.039
9609,2021-04,B14200,149.196
9610,2021-05,B14200,148.625
9611,2021-06,B14200,149.13
9612,2021-07,B14200,152.727
9613,2021-08,B14200,155.544
9614,2021-09,B14200,146.418
9615,2021-10,B14200,157.078
9616,2021-11,B14200,155.055
9617,2021-12,B14200,160.349
9618,2022-01,B14200,150.019
9619,2022-02,B14200,147.246
9620,2022-03,B14200,146.766
9621,2022-04,B14200,133.039
9622,2022-05,B14200,131.0
9623,2022-06,B14200,121.855
9624,2022-07,B14200,133.041
9625,2022-08,B14200,127.168
9626,2022-09,B14200,115.669
9627,2022-10,B14200,123.083
9628,2022-11,B14200,129.832
9629,2022-12,B14200,119.646
9630,2023-01,B14200,126.901
9631,2023-02,B14200,124.112
9632,2023-03,B14200,127.273
9633,2023-04,B14200,123.668
9634,2023-05,B14200,123.162
9635,2023-06,B14200,129.795
9636,2023-07,B14200,136.838
9637,2023-08,B14200,139.437
9638,2023-09,B14200,135.554
9639,2023-10,B14200,137.124
9640,2023-11,B14200,150.615
9641,2023-12,B14200,163.604
9642,2024-01,B14200,170.954
9643,2024-02,B14200,184.096
9644,2024-03,B14200,192.903
9645,2024-04,B14200,187.168
9646,2024-05,B14200,200.44
9647,2024-06,B14200,209.83
9648,2024-07,B14200,215.897
9649,2024-08,B14200,221.413
9650,2024-09,B14200,232.872
9651,2024-10,B14200,239.511
9652,2024-11,B14200,260.376
9653,2024-12,B14200,256.105
9654,2025-01,B14200,271.514
9655,2025-02,B14200,277.064
9656,2025-03,B14200,269.738
9657,2025-04,B14200,274.427
9658,2025-05,B14200,302.624
9659,2025-06,B14200,323.622
9660,2000-01,B14562,409.818
9661,2000-02,B14562,416.881
9662,2000-03,B14562,442.796
9663,2000-04,B14562,435.445
9664,2000-05,B14562,441.566
9665,2000-06,B14562,463.964
9666,2000-07,B14562,462.812
9667,2000-08,B14562,504.274
9668,2000-09,B14562,484.638
9669,2000-10,B14562,481.03
9670,2000-11,B14562,434.257
9671,2000-12,B14562,410.074
9672,2001-01,B14562,430.521
9673,2001-02,B14562,390.294
9674,2001-03,B14562,366.492
9675,2001-04,B14562,388.106
9676,2001-05,B14562,385.397
9677,2001-06,B14562,379.47
9678,2001-07,B14562,381.83
9679,2001-08,B14562,358.529
9680,2001-09,B14562,323.01
9681,2001-10,B14562,312.607
9682,2001-11,B14562,337.002
9683,2001-12,B14562,309.409
9684,2002-01,B14562,306.058
9685,2002-02,B14562,290.069
9686,2002-03,B14562,301.01
9687,2002-04,B14562,267.887
9688,2002-05,B14562,265.022
9689,2002-06,B14562,229.712
9690,2002-07,B14562,233.754
9691,2002-08,B14562,215.632
9692,2002-09,B14562,186.451
9693,2002-10,B14562,194.27
9694,2002-11,B14562,190.334
9695,2002-12,B14562,197.467
9696,2003-01,B14562,176.778
9697,2003-02,B14562,172.14
9698,2003-03,B14562,164.723
9699,2003-04,B14562,177.609
9700,2003-05,B14562,189.02
9701,2003-06,B14562,192.846
9702,2003-07,B14562,192.054
9703,2003-08,B14562,195.678
9704,2003-09,B14562,192.732
9705,2003-10,B14562,180.855
9706,2003-11,B14562,181.035
9707,2003-12,B14562,190.579
9708,2004-01,B14562,193.597
9709,2004-02,B14562,197.378
9710,2004-03,B14562,195.418
9711,2004-04,B14562,193.499
9712,2004-05,B14562,196.413
9713,2004-06,B14562,202.001
9714,2004-07,B14562,198.184
9715,2004-08,B14562,196.422
9716,2004-09,B14562,199.839
9717,2004-10,B14562,201.571
9718,2004-11,B14562,213.986
9719,2004-12,B14562,222.925
9720,2005-01,B14562,222.088
9721,2005-02,B14562,240.218
9722,2005-03,B14562,247.762
9723,2005-04,B14562,264.157
9724,2005-05,B14562,276.956
9725,2005-06,B14562,282.501
9726,2005-07,B14562,318.374
9727,2005-08,B14562,341.574
9728,2005-09,B14562,359.05
9729,2005-10,B14562,377.981
9730,2005-11,B14562,397.368
9731,2005-12,B14562,403.797
9732,2006-01,B14562,429.779
9733,2006-02,B14562,441.921
9734,2006-03,B14562,453.317
9735,2006-04,B14562,453.567
9736,2006-05,B14562,428.813
9737,2006-06,B14562,569.566
9738,2006-07,B14562,576.414
9739,2006-08,B14562,584.221
9740,2006-09,B14562,606.854
9741,2006-10,B14562,621.751
