,as_of,ask_id,fund_size
6671,2020-01,B16243,765.874
6672,2020-02,B16243,1040.3
6673,2020-03,B16243,949.991
6674,2020-04,B16243,1012.33
6675,2020-05,B16243,1024.9
6676,2020-06,B16243,1014.99
6677,2020-07,B16243,1028.14
6678,2020-08,B16243,1006.67
6679,2020-09,B16243,1024.39
6680,2020-10,B16243,982.861
6681,2020-11,B16243,983.906
6682,2020-12,B16243,1039.17
6683,2021-01,B16243,1209.78
6684,2021-02,B16243,1244.2
6685,2021-03,B16243,1254.55
6686,2021-04,B16243,1282.67
6687,2021-05,B16243,1351.55
6688,2021-06,B16243,1348.85
6689,2021-07,B16243,1414.48
6690,2021-08,B16243,1437.53
6691,2021-09,B16243,1325.82
6692,2021-10,B16243,1349.17
6693,2021-11,B16243,1353.95
6694,2021-12,B16243,1392.71
6695,2022-01,B16243,1438.12
6696,2022-02,B16243,1433.03
6697,2022-03,B16243,1466.64
6698,2022-04,B16243,1394.92
6699,2022-05,B16243,1420.0
6700,2022-06,B16243,1531.11
6701,2022-07,B16243,1582.19
6702,2022-08,B16243,1578.94
6703,2022-09,B16243,1425.84
6704,2022-10,B16243,1435.63
6705,2022-11,B16243,1483.89
6706,2022-12,B16243,1278.03
6707,2023-01,B16243,1316.04
6708,2023-02,B16243,1277.1
6709,2023-03,B16243,1291.75
6710,2023-04,B16243,1720.06
6711,2023-05,B16243,1709.58
6712,2023-06,B16243,1668.3
6713,2023-07,B16243,1706.84
6714,2023-08,B16243,1670.4
6715,2023-09,B16243,1627.71
6716,2023-10,B16243,1589.09
6717,2023-11,B16243,1662.75
6718,2023-12,B16243,1716.98
6719,2024-01,B16243,1670.61
6720,2024-02,B16243,1797.11
6721,2024-03,B16243,1855.17
6722,2024-04,B16243,1941.6
6723,2024-05,B16243,2146.44
6724,2024-06,B16243,2163.42
6725,2024-07,B16243,2254.82
6726,2024-08,B16243,2329.26
6727,2024-09,B16243,2360.12
6728,2024-10,B16243,1978.35
6729,2024-11,B16243,2019.12
6730,2024-12,B16243,2110.39
6731,2025-01,B16243,2081.32
6732,2025-02,B16243,2142.97
6733,2025-03,B16243,1946.95
6734,2025-04,B16243,1948.1
6735,2025-05,B16243,1874.0
6736,2025-06,B16243,1330.91
6737,2000-01,B17110,29.7742
6738,2000-02,B17110,29.8727
6739,2000-03,B17110,30.3443
6740,2000-04,B17110,29.999
6741,2000-05,B17110,28.8166
6742,2000-06,B17110,28.7905
6743,2000-07,B17110,28.757
6744,2000-08,B17110,29.3466
6745,2000-09,B17110,29.5712
6746,2000-10,B17110,29.1124
6747,2000-11,B17110,29.4024
6748,2000-12,B17110,30.0545
6749,2001-01,B17110,33.5262
6750,2001-02,B17110,33.9551
6751,2001-03,B17110,34.1791
6752,2001-04,B17110,33.5909
